"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"China","2012","All genders","Not applicable","Number","114.9581"
"China","2012","Female","Not applicable","Number","111.75479"
"China","2012","Male","Not applicable","Number","117.79278"
"China","2011","Male","Not applicable","Number","98.05052"
"China","2011","Female","Not applicable","Number","101.02743"
"China","2011","All genders","Not applicable","Number","99.45053"
"China","2010","All genders","Not applicable","Number","95.37701"
"China","2010","Female","Not applicable","Number","96.72077"
"China","2010","Male","Not applicable","Number","94.18043"
"China","2009","Male","Not applicable","Number","92.58022"
"China","2009","Female","Not applicable","Number","94.33401"
"China","2009","All genders","Not applicable","Number","93.40725"
"China","2008","All genders","Not applicable","Number","92.2859"
"China","2008","Female","Not applicable","Number","92.97435"
"China","2008","Male","Not applicable","Number","91.66898"
"China","2007","Male","Not applicable","Number","90.93598"
"China","2007","Female","Not applicable","Number","91.84946"
"China","2007","All genders","Not applicable","Number","91.36925"
"Colombia","2014","All genders","Not applicable","Number","95.31149"
"Colombia","2014","Male","Not applicable","Number","88.50625"
"Colombia","2014","Female","Not applicable","Number","102.38977"
"Colombia","2013","All genders","Not applicable","Number","96.5482"
"Colombia","2013","Female","Not applicable","Number","103.72406"
"Colombia","2013","Male","Not applicable","Number","89.64483"
"Colombia","2012","All genders","Not applicable","Number","82.3555"
"Colombia","2012","Male","Not applicable","Number","81.91832"
"Colombia","2012","Female","Not applicable","Number","82.80979"
"Colombia","2011","All genders","Not applicable","Number","91.33717"
"Colombia","2011","Female","Not applicable","Number","96.98643"
"Colombia","2011","Male","Not applicable","Number","85.90166"
"Colombia","2010","All genders","Not applicable","Number","89.97038"
"Colombia","2010","Male","Not applicable","Number","84.65223"
"Colombia","2010","Female","Not applicable","Number","95.50151"
"Colombia","2009","All genders","Not applicable","Number","85.47378"
"Colombia","2009","Female","Not applicable","Number","91.35859"
"Colombia","2009","Male","Not applicable","Number","79.81374"
"Colombia","2008","All genders","Not applicable","Number","79.17453"
"Colombia","2008","Male","Not applicable","Number","73.89538"
"Colombia","2008","Female","Not applicable","Number","84.66015"
"Colombia","2007","All genders","Not applicable","Number","76.66456"
"Colombia","2007","Female","Not applicable","Number","81.93889"
"Colombia","2007","Male","Not applicable","Number","71.58498"
"Comoros","2013","All genders","Not applicable","Number","18.5386"
"Comoros","2011","All genders","Not applicable","Number","21.25375"
"Costa Rica","2014","All genders","Not applicable","Number","72.45403"
"Costa Rica","2014","Male","Not applicable","Number","67.39038"
"Costa Rica","2014","Female","Not applicable","Number","77.74533"
"Costa Rica","2013","All genders","Not applicable","Number","65.61092"
"Costa Rica","2013","Female","Not applicable","Number","70.38137"
"Costa Rica","2013","Male","Not applicable","Number","61.04386"
"Costa Rica","2012","All genders","Not applicable","Number","61.43054"
"Costa Rica","2012","Male","Not applicable","Number","56.61215"
"Costa Rica","2012","Female","Not applicable","Number","66.46145"
"Costa Rica","2011","All genders","Not applicable","Number","60.17885"
"Costa Rica","2011","Female","Not applicable","Number","65.15919"
"Costa Rica","2011","Male","Not applicable","Number","55.40743"
"Costa Rica","2010","All genders","Not applicable","Number","58.84243"
"Costa Rica","2010","Male","Not applicable","Number","54.19728"
"Costa Rica","2010","Female","Not applicable","Number","63.69036"
"Costa Rica","2009","All genders","Not applicable","Number","55.63806"
"Costa Rica","2009","Female","Not applicable","Number","60.267"
"Costa Rica","2009","Male","Not applicable","Number","51.20078"
"Costa Rica","2008","All genders","Not applicable","Number","51.64784"
"Costa Rica","2008","Male","Not applicable","Number","46.23894"
"Costa Rica","2008","Female","Not applicable","Number","57.28776"
"Costa Rica","2007","All genders","Not applicable","Number","49.64954"
"Costa Rica","2007","Female","Not applicable","Number","53.35562"
"Costa Rica","2007","Male","Not applicable","Number","46.09353"
"Costa Rica","2006","All genders","Not applicable","Number","47.08985"
"Costa Rica","2006","Male","Not applicable","Number","43.1725"
"Costa Rica","2006","Female","Not applicable","Number","51.17083"
"Costa Rica","2005","All genders","Not applicable","Number","48.88015"
"Costa Rica","2005","Female","Not applicable","Number","52.71379"
"Costa Rica","2005","Male","Not applicable","Number","45.19934"
"Costa Rica","2004","All genders","Not applicable","Number","45.74901"
"Costa Rica","2004","Male","Not applicable","Number","42.35448"
"Costa Rica","2004","Female","Not applicable","Number","49.28275"
"Costa Rica","2003","All genders","Not applicable","Number","43.52749"
"Costa Rica","2003","Female","Not applicable","Number","47.02872"
"Costa Rica","2003","Male","Not applicable","Number","40.16237"
"Costa Rica","1999","Male","Not applicable","Number","46.86254"
"Costa Rica","1999","All genders","Not applicable","Number","51.75155"
"Costa Rica","1999","Female","Not applicable","Number","56.83363"
"Côte d'Ivoire","2014","All genders","Not applicable","Number","33.53746"
"Côte d'Ivoire","2014","Male","Not applicable","Number","40.38632"
"Côte d'Ivoire","2014","Female","Not applicable","Number","26.57617"
"Côte d'Ivoire","2013","Female","Not applicable","Number","7.92854"
"Côte d'Ivoire","2013","Male","Not applicable","Number","23.09152"
"Côte d'Ivoire","2013","All genders","Not applicable","Number","15.57262"
"Cuba","2014","All genders","Not applicable","Number","98.70588"
"Cuba","2014","Male","Not applicable","Number","98.41219"
"Cuba","2014","Female","Not applicable","Number","99.02197"
"Cuba","2013","Female","Not applicable","Number","98.62001"
"Cuba","2013","Male","Not applicable","Number","98.44653"
"Cuba","2013","All genders","Not applicable","Number","98.53002"
"Cuba","2012","All genders","Not applicable","Number","100.48293"
"Cuba","2012","Male","Not applicable","Number","101.07017"
"Cuba","2012","Female","Not applicable","Number","99.84849"
"Cuba","2011","Male","Not applicable","Number","92.57576"
"Cuba","2011","Female","Not applicable","Number","90.74578"
"Cuba","2011","All genders","Not applicable","Number","91.69713"
"Cuba","2010","Male","Not applicable","Number","97.04451"
"Cuba","2010","All genders","Not applicable","Number","96.41431"
"Cuba","2010","Female","Not applicable","Number","95.73071"
"Cuba","2009","Male","Not applicable","Number","96.16812"
"Cuba","2009","Female","Not applicable","Number","95.64174"
"Cuba","2009","All genders","Not applicable","Number","95.91568"
"Cuba","2008","Male","Not applicable","Number","97.66578"
"Cuba","2008","All genders","Not applicable","Number","97.61472"
"Cuba","2008","Female","Not applicable","Number","97.55937"
"Cuba","2007","All genders","Not applicable","Number","96.92484"
"Cuba","2007","Female","Not applicable","Number","96.90862"
"Cuba","2007","Male","Not applicable","Number","96.93988"
"Cuba","2006","All genders","Not applicable","Number","100.33837"
"Cuba","2006","Male","Not applicable","Number","101.35848"
"Cuba","2006","Female","Not applicable","Number","99.24704"
"Czech Republic","2014","Male","Not applicable","Number","104.38322"
"Czech Republic","2014","All genders","Not applicable","Number","104.55462"
"Czech Republic","2014","Female","Not applicable","Number","104.73587"
"Czech Republic","2013","All genders","Not applicable","Number","102.73587"
"Czech Republic","2013","Female","Not applicable","Number","103.16157"
"Czech Republic","2013","Male","Not applicable","Number","102.33346"
"Denmark","2014","Female","Not applicable","Number","149.4502"
"Denmark","2014","All genders","Not applicable","Number","149.51003"
"Denmark","2014","Male","Not applicable","Number","149.5666"
"Denmark","2013","All genders","Not applicable","Number","150.40365"
"Denmark","2013","Male","Not applicable","Number","150.16191"
"Denmark","2013","Female","Not applicable","Number","150.65859"
"Djibouti","2015","Male","Not applicable","Number","32.16529"
"Djibouti","2015","All genders","Not applicable","Number","28.95882"
"Djibouti","2015","Female","Not applicable","Number","25.66972"
"Djibouti","2014","All genders","Not applicable","Number","29.3085"
"Djibouti","2014","Female","Not applicable","Number","26.43338"
"Djibouti","2014","Male","Not applicable","Number","32.11111"
"Djibouti","2012","All genders","Not applicable","Number","42.8627"
"Djibouti","2012","Male","Not applicable","Number","49.2752"
"Djibouti","2012","Female","Not applicable","Number","36.28996"
"Djibouti","2011","All genders","Not applicable","Number","28.50676"
"Djibouti","2009","Female","Not applicable","Number","17.16697"
"Djibouti","2009","All genders","Not applicable","Number","21.777"
"Djibouti","2009","Male","Not applicable","Number","26.28118"
"Djibouti","2006","All genders","Not applicable","Number","12.08423"
"Djibouti","2006","Male","Not applicable","Number","15.68008"
"Djibouti","2006","Female","Not applicable","Number","8.41053"
"Dominica","2013","Female","Not applicable","Number","100.32841"
"Dominica","2013","All genders","Not applicable","Number","98.93878"
"Dominica","2013","Male","Not applicable","Number","97.56494"
"Dominica","2011","All genders","Not applicable","Number","99.70149"
"Dominica","2011","Male","Not applicable","Number","80.49491"
"Dominica","2011","Female","Not applicable","Number","119.90812"
"Dominica","2010","Female","Not applicable","Number","107.97637"
"Dominica","2010","All genders","Not applicable","Number","104.50322"
"Dominica","2010","Male","Not applicable","Number","101.24654"
"Dominica","2009","Male","Not applicable","Number","100.79156"
"Dominica","2009","All genders","Not applicable","Number","108.16747"
"Dominica","2009","Female","Not applicable","Number","116.16595"
"Dominica","2008","Female","Not applicable","Number","143.80282"
"Dominica","2008","All genders","Not applicable","Number","128.46568"
"Dominica","2008","Male","Not applicable","Number","114.43299"
"Dominica","2007","Male","Not applicable","Number","87.01299"
"Dominica","2007","All genders","Not applicable","Number","106.44068"
"Dominica","2007","Female","Not applicable","Number","127.65957"
"Dominican Republic","2014","Male","Not applicable","Number","68.88817"
"Dominican Republic","2014","Female","Not applicable","Number","78.43153"
"Dominican Republic","2014","All genders","Not applicable","Number","73.59615"
"Dominican Republic","2013","Male","Not applicable","Number","68.48145"
"Dominican Republic","2013","All genders","Not applicable","Number","72.41968"
"Dominican Republic","2013","Female","Not applicable","Number","76.46246"
"Dominican Republic","2012","Male","Not applicable","Number","68.78756"
"Dominican Republic","2012","Female","Not applicable","Number","76.68846"
"Dominican Republic","2012","All genders","Not applicable","Number","72.68662"
"Dominican Republic","2011","Male","Not applicable","Number","70.42135"
"Dominican Republic","2011","Female","Not applicable","Number","74.73078"
"Dominican Republic","2011","All genders","Not applicable","Number","72.54767"
"Dominican Republic","2010","Female","Not applicable","Number","84.26985"
"Dominican Republic","2010","All genders","Not applicable","Number","81.75389"
"Dominican Republic","2010","Male","Not applicable","Number","79.3052"
"Dominican Republic","2009","Female","Not applicable","Number","81.71852"
"Dominican Republic","2009","Male","Not applicable","Number","72.8"
"Dominican Republic","2009","All genders","Not applicable","Number","77.1983"
"Dominican Republic","2008","Female","Not applicable","Number","79.24766"
"Dominican Republic","2008","All genders","Not applicable","Number","73.12425"
"Dominican Republic","2008","Male","Not applicable","Number","67.16857"
"Dominican Republic","2007","All genders","Not applicable","Number","72.63863"
"Dominican Republic","2007","Male","Not applicable","Number","66.72849"
"Dominican Republic","2007","Female","Not applicable","Number","78.71413"
"Ecuador","2014","Male","Not applicable","Number","90.46222"
"Ecuador","2014","All genders","Not applicable","Number","91.11264"
"Ecuador","2014","Female","Not applicable","Number","91.78694"
"Ecuador","2013","All genders","Not applicable","Number","87.06909"
"Ecuador","2013","Female","Not applicable","Number","89.9569"
"Ecuador","2013","Male","Not applicable","Number","84.28163"
"Ecuador","2012","All genders","Not applicable","Number","79.75961"
"Ecuador","2012","Male","Not applicable","Number","78.91158"
"Ecuador","2012","Female","Not applicable","Number","80.63772"
"Ecuador","2011","Male","Not applicable","Number","72.23886"
"Ecuador","2011","Female","Not applicable","Number","76.17194"
"Ecuador","2011","All genders","Not applicable","Number","74.17124"
"Ecuador","2010","Male","Not applicable","Number","68.46826"
"Ecuador","2010","All genders","Not applicable","Number","70.35573"
"Ecuador","2010","Female","Not applicable","Number","72.31043"
"Ecuador","2007","Male","Not applicable","Number","58.153"
"Ecuador","2007","Female","Not applicable","Number","61.23585"
"Ecuador","2007","All genders","Not applicable","Number","59.6684"
"Ecuador","2006","Male","Not applicable","Number","56.35016"
"Ecuador","2006","All genders","Not applicable","Number","57.94842"
"Ecuador","2006","Female","Not applicable","Number","59.60089"
"Egypt","2014","Male","Not applicable","Number","83.49009"
"Egypt","2014","All genders","Not applicable","Number","84.12739"
"Egypt","2014","Female","Not applicable","Number","84.79871"
"Egypt","2013","Female","Not applicable","Number","78.31711"
"Egypt","2013","All genders","Not applicable","Number","76.72926"
"Egypt","2013","Male","Not applicable","Number","75.2196"
"El Salvador","2014","Male","Not applicable","Number","79.79927"
"El Salvador","2014","All genders","Not applicable","Number","81.2177"
"El Salvador","2014","Female","Not applicable","Number","82.65644"
"El Salvador","2013","Male","Not applicable","Number","81.37628"
"El Salvador","2013","All genders","Not applicable","Number","82.40528"
"El Salvador","2013","Female","Not applicable","Number","83.44621"
"El Salvador","2012","Female","Not applicable","Number","84.80669"
"El Salvador","2012","Male","Not applicable","Number","82.51183"
"El Salvador","2012","All genders","Not applicable","Number","83.65422"
"El Salvador","2011","All genders","Not applicable","Number","82.16006"
"El Salvador","2011","Male","Not applicable","Number","81.79491"
"El Salvador","2011","Female","Not applicable","Number","82.52807"
"El Salvador","2010","Female","Not applicable","Number","79.32785"
"El Salvador","2010","Male","Not applicable","Number","77.09361"
"El Salvador","2010","All genders","Not applicable","Number","78.20607"
"El Salvador","2009","All genders","Not applicable","Number","71.40516"
"El Salvador","2009","Male","Not applicable","Number","71.64759"
"El Salvador","2009","Female","Not applicable","Number","71.16161"
"El Salvador","2008","Female","Not applicable","Number","72.26803"
"El Salvador","2008","Male","Not applicable","Number","70.19543"
"El Salvador","2008","All genders","Not applicable","Number","71.23124"
"El Salvador","2007","All genders","Not applicable","Number","69.99004"
"El Salvador","2007","Male","Not applicable","Number","68.35016"
"El Salvador","2007","Female","Not applicable","Number","71.62604"
"El Salvador","2006","Female","Not applicable","Number","71.2928"
"El Salvador","2006","Male","Not applicable","Number","68.77221"
"El Salvador","2006","All genders","Not applicable","Number","70.03506"
"Eritrea","2011","Male","Not applicable","Number","43.04331"
"Eritrea","2011","Female","Not applicable","Number","39.46544"
"Eritrea","2011","All genders","Not applicable","Number","41.27886"
"Eritrea","2009","All genders","Not applicable","Number","36.82516"
"Eritrea","2009","Male","Not applicable","Number","42.04389"
"Eritrea","2009","Female","Not applicable","Number","31.48621"
"Eritrea","2007","Female","Not applicable","Number","28.00046"
"Eritrea","2007","Male","Not applicable","Number","37.07175"
"Eritrea","2007","All genders","Not applicable","Number","32.58119"
"Eritrea","2006","All genders","Not applicable","Number","28.74873"
"Eritrea","2006","Male","Not applicable","Number","29.66488"
"Eritrea","2006","Female","Not applicable","Number","27.81476"
"Estonia","2014","Male","Not applicable","Number","108.65896"
"Estonia","2014","All genders","Not applicable","Number","107.68725"
"Estonia","2014","Female","Not applicable","Number","106.66667"
"Ethiopia","2014","Male","Not applicable","Number","1.09192"
"Ethiopia","2014","Female","Not applicable","Number","1.11386"
"Ethiopia","2014","All genders","Not applicable","Number","1.10278"
"Ethiopia","2012","All genders","Not applicable","Number","26.30812"
"Ethiopia","2012","Male","Not applicable","Number","28.70853"
"Ethiopia","2012","Female","Not applicable","Number","23.85594"
"Ethiopia","2010","Female","Not applicable","Number","24.40363"
"Ethiopia","2010","Male","Not applicable","Number","32.2258"
"Ethiopia","2010","All genders","Not applicable","Number","28.3604"
"Ethiopia","2009","All genders","Not applicable","Number","26.53569"
"Ethiopia","2009","Male","Not applicable","Number","30.72172"
"Ethiopia","2009","Female","Not applicable","Number","22.26665"
"Ethiopia","2008","Female","Not applicable","Number","21.97931"
"Ethiopia","2008","Male","Not applicable","Number","33.77297"
"Ethiopia","2008","All genders","Not applicable","Number","27.9238"
"Fiji","2013","Male","Not applicable","Number","103.96985"
"Fiji","2013","Female","Not applicable","Number","102.52843"
"Fiji","2013","All genders","Not applicable","Number","103.27178"
"Finland","2014","All genders","Not applicable","Number","96.63979"
"Finland","2014","Male","Not applicable","Number","97.5165"
"Finland","2014","Female","Not applicable","Number","95.72798"
"Finland","2013","Female","Not applicable","Number","96.48404"
"Finland","2013","Male","Not applicable","Number","97.51819"
"Finland","2013","All genders","Not applicable","Number","97.01123"
"France","2014","Male","Not applicable","Number","83.47933"
"France","2014","All genders","Not applicable","Number","87.38084"
"France","2014","Female","Not applicable","Number","91.47548"
"France","2013","Male","Not applicable","Number","81.86686"
"France","2013","Female","Not applicable","Number","90.45543"
"France","2013","All genders","Not applicable","Number","86.06122"
"Georgia","2014","Male","Not applicable","Number","102.70562"
"Georgia","2014","All genders","Not applicable","Number","100.89961"
"Georgia","2014","Female","Not applicable","Number","98.91066"
"Georgia","2013","Male","Not applicable","Number","108.12138"
"Georgia","2013","Female","Not applicable","Number","104.87984"
"Georgia","2013","All genders","Not applicable","Number","106.5726"
"Georgia","2012","Male","Not applicable","Number","105.73145"
"Georgia","2012","All genders","Not applicable","Number","103.5841"
"Georgia","2012","Female","Not applicable","Number","101.26758"
"Georgia","2011","Male","Not applicable","Number","101.76918"
"Georgia","2011","Female","Not applicable","Number","99.62531"
"Georgia","2011","All genders","Not applicable","Number","100.72793"
"Georgia","2010","Male","Not applicable","Number","98.31755"
"Georgia","2010","All genders","Not applicable","Number","96.48141"
"Georgia","2010","Female","Not applicable","Number","94.57518"
"Georgia","2009","Male","Not applicable","Number","88.72552"
"Georgia","2009","Female","Not applicable","Number","84.22297"
"Georgia","2009","All genders","Not applicable","Number","86.49056"
"Georgia","2008","Male","Not applicable","Number","92.03068"
"Georgia","2008","All genders","Not applicable","Number","89.52922"
"Georgia","2008","Female","Not applicable","Number","87.03035"
"Germany","2014","All genders","Not applicable","Number","89.51504"
"Germany","2014","Female","Not applicable","Number","95.84514"
"Germany","2014","Male","Not applicable","Number","83.49627"
"Ghana","2015","Male","Not applicable","Number","80.19001"
"Ghana","2015","All genders","Not applicable","Number","78.02969"
"Ghana","2015","Female","Not applicable","Number","75.7714"
"Ghana","2014","All genders","Not applicable","Number","72.35586"
"Ghana","2014","Female","Not applicable","Number","69.67082"
"Ghana","2014","Male","Not applicable","Number","74.92772"
"Ghana","2013","All genders","Not applicable","Number","67.41941"
"Ghana","2013","Male","Not applicable","Number","71.29133"
"Ghana","2013","Female","Not applicable","Number","63.38192"
"Ghana","2008","Male","Not applicable","Number","69.46174"
"Ghana","2008","Female","Not applicable","Number","59.84966"
"Ghana","2008","All genders","Not applicable","Number","64.7512"
"Grenada","2014","Male","Not applicable","Number","106.28803"
"Grenada","2014","All genders","Not applicable","Number","105.49223"
"Grenada","2014","Female","Not applicable","Number","104.66102"
"Grenada","2013","All genders","Not applicable","Number","99.09366"
"Grenada","2013","Female","Not applicable","Number","99.5889"
"Grenada","2013","Male","Not applicable","Number","98.61797"
"Grenada","2010","All genders","Not applicable","Number","123.60132"
"Grenada","2010","Male","Not applicable","Number","120.78285"
"Grenada","2010","Female","Not applicable","Number","126.47059"
"Grenada","2009","All genders","Not applicable","Number","110.7507"
"Grenada","2009","Female","Not applicable","Number","111.1836"
"Grenada","2009","Male","Not applicable","Number","110.32258"
"Grenada","2008","All genders","Not applicable","Number","83.76916"
"Grenada","2008","Male","Not applicable","Number","77.98742"
"Grenada","2008","Female","Not applicable","Number","89.59276"
"Grenada","2007","All genders","Not applicable","Number","88.32903"
"Grenada","2007","Female","Not applicable","Number","95.15571"
"Grenada","2007","Male","Not applicable","Number","81.56089"
"Guatemala","2014","Male","Not applicable","Number","47.63527"
"Guatemala","2014","All genders","Not applicable","Number","47.67518"
"Guatemala","2014","Female","Not applicable","Number","47.71602"
"Guatemala","2013","All genders","Not applicable","Number","46.72707"
"Guatemala","2013","Male","Not applicable","Number","46.58412"
"Guatemala","2013","Female","Not applicable","Number","46.87312"
"Guatemala","2012","Male","Not applicable","Number","46.51509"
"Guatemala","2012","Female","Not applicable","Number","46.76457"
"Guatemala","2012","All genders","Not applicable","Number","46.63857"
"Guatemala","2011","Male","Not applicable","Number","46.0827"
"Guatemala","2011","All genders","Not applicable","Number","46.58693"
"Guatemala","2011","Female","Not applicable","Number","47.10113"
"Guatemala","2010","Female","Not applicable","Number","39.99687"
"Guatemala","2010","All genders","Not applicable","Number","39.25207"
"Guatemala","2010","Male","Not applicable","Number","38.52168"
"Guatemala","2009","Male","Not applicable","Number","37.30297"
"Guatemala","2009","All genders","Not applicable","Number","37.78526"
"Guatemala","2009","Female","Not applicable","Number","38.27602"
"Guatemala","2008","Female","Not applicable","Number","35.51391"
"Guatemala","2008","All genders","Not applicable","Number","35.29037"
"Guatemala","2008","Male","Not applicable","Number","35.07005"
"Guatemala","2007","All genders","Not applicable","Number","30.7326"
"Guatemala","2007","Male","Not applicable","Number","30.48045"
"Guatemala","2007","Female","Not applicable","Number","30.98767"
"Guinea","2014","All genders","Not applicable","Number","22.7051"
"Guinea","2014","Male","Not applicable","Number","29.96224"
"Guinea","2014","Female","Not applicable","Number","15.29637"
"Guinea","2013","All genders","Not applicable","Number","9.80411"
"Guinea","2013","Female","Not applicable","Number","5.7816"
"Guinea","2013","Male","Not applicable","Number","13.74397"
"Guinea","2012","All genders","Not applicable","Number","13.24657"
"Guinea","2012","Male","Not applicable","Number","18.07083"
"Guinea","2012","Female","Not applicable","Number","8.32114"
"Holy See","2015","Female","Not applicable","Number","0"
"Holy See","2015","Male","Not applicable","Number","0"
"Holy See","2015","All genders","Not applicable","Number","0"
"Holy See","2014","Male","Not applicable","Number","0"
"Holy See","2014","All genders","Not applicable","Number","0"
"Holy See","2014","Female","Not applicable","Number","0"
"Holy See","2013","Male","Not applicable","Number","0"
"Holy See","2013","Female","Not applicable","Number","0"
"Holy See","2013","All genders","Not applicable","Number","0"
"Holy See","2012","Male","Not applicable","Number","0"
"Holy See","2012","All genders","Not applicable","Number","0"
"Holy See","2012","Female","Not applicable","Number","0"
"Holy See","2011","Male","Not applicable","Number","0"
"Holy See","2011","Female","Not applicable","Number","0"
"Holy See","2011","All genders","Not applicable","Number","0"
"Holy See","2010","Male","Not applicable","Number","0"
"Holy See","2010","All genders","Not applicable","Number","0"
"Holy See","2010","Female","Not applicable","Number","0"
"Holy See","2009","Male","Not applicable","Number","0"
"Holy See","2009","Female","Not applicable","Number","0"
"Holy See","2009","All genders","Not applicable","Number","0"
"Holy See","2008","Male","Not applicable","Number","0"
"Holy See","2008","All genders","Not applicable","Number","0"
"Holy See","2008","Female","Not applicable","Number","0"
"Holy See","2007","Male","Not applicable","Number","0"
"Holy See","2007","All genders","Not applicable","Number","0"
"Holy See","2007","Female","Not applicable","Number","0"
"Holy See","2006","All genders","Not applicable","Number","0"
"Holy See","2006","Female","Not applicable","Number","0"
"Holy See","2006","Male","Not applicable","Number","0"
"Holy See","2005","Female","Not applicable","Number","0"
"Holy See","2005","Male","Not applicable","Number","0"
"Holy See","2005","All genders","Not applicable","Number","0"
"Holy See","2004","Female","Not applicable","Number","0"
"Holy See","2004","All genders","Not applicable","Number","0"
"Holy See","2004","Male","Not applicable","Number","0"
"Holy See","2003","Female","Not applicable","Number","0"
"Holy See","2003","Male","Not applicable","Number","0"
"Holy See","2003","All genders","Not applicable","Number","0"
"Holy See","2002","Female","Not applicable","Number","0"
"Holy See","2002","All genders","Not applicable","Number","0"
"Holy See","2002","Male","Not applicable","Number","0"
"Holy See","2001","Female","Not applicable","Number","0"
"Holy See","2001","Male","Not applicable","Number","0"
"Holy See","2001","All genders","Not applicable","Number","0"
"Holy See","2000","Female","Not applicable","Number","0"
"Holy See","2000","All genders","Not applicable","Number","0"
"Holy See","2000","Male","Not applicable","Number","0"
"Holy See","1999","Female","Not applicable","Number","0"
"Holy See","1999","Male","Not applicable","Number","0"
"Holy See","1999","All genders","Not applicable","Number","0"
"Holy See","1998","Female","Not applicable","Number","0"
"Holy See","1998","All genders","Not applicable","Number","0"
"Holy See","1998","Male","Not applicable","Number","0"
"Holy See","1997","Female","Not applicable","Number","0"
"Holy See","1997","Male","Not applicable","Number","0"
"Holy See","1997","All genders","Not applicable","Number","0"
"Holy See","1996","Female","Not applicable","Number","0"
"Holy See","1996","All genders","Not applicable","Number","0"
"Holy See","1996","Male","Not applicable","Number","0"
"Holy See","1995","Female","Not applicable","Number","0"
"Holy See","1995","Male","Not applicable","Number","0"
"Holy See","1995","All genders","Not applicable","Number","0"
"Holy See","1994","Female","Not applicable","Number","0"
"Holy See","1994","Male","Not applicable","Number","0"
"Holy See","1994","All genders","Not applicable","Number","0"
"Holy See","1993","Male","Not applicable","Number","0"
"Holy See","1993","All genders","Not applicable","Number","0"
"Holy See","1993","Female","Not applicable","Number","0"
"Holy See","1992","Male","Not applicable","Number","0"
"Holy See","1992","All genders","Not applicable","Number","0"
"Holy See","1992","Female","Not applicable","Number","0"
"Holy See","1991","All genders","Not applicable","Number","0"
"Holy See","1991","Female","Not applicable","Number","0"
"Holy See","1991","Male","Not applicable","Number","0"
"Holy See","1990","All genders","Not applicable","Number","0"
"Holy See","1990","Male","Not applicable","Number","0"
"Holy See","1990","Female","Not applicable","Number","0"
"Holy See","1989","All genders","Not applicable","Number","0"
"Holy See","1989","Female","Not applicable","Number","0"
"Holy See","1989","Male","Not applicable","Number","0"
"Holy See","1988","All genders","Not applicable","Number","0"
"Holy See","1988","Male","Not applicable","Number","0"
"Holy See","1988","Female","Not applicable","Number","0"
"Holy See","1987","All genders","Not applicable","Number","0"
"Holy See","1987","Female","Not applicable","Number","0"
"Holy See","1987","Male","Not applicable","Number","0"
"Holy See","1986","All genders","Not applicable","Number","0"
"Holy See","1986","Male","Not applicable","Number","0"
"Holy See","1986","Female","Not applicable","Number","0"
"Holy See","1985","All genders","Not applicable","Number","0"
"Holy See","1985","Female","Not applicable","Number","0"
"Holy See","1985","Male","Not applicable","Number","0"
"Holy See","1984","Female","Not applicable","Number","0"
"Holy See","1984","Male","Not applicable","Number","0"
"Holy See","1984","All genders","Not applicable","Number","0"
"Holy See","1983","Female","Not applicable","Number","0"
"Holy See","1983","All genders","Not applicable","Number","0"
"Holy See","1983","Male","Not applicable","Number","0"
"Holy See","1982","Female","Not applicable","Number","0"
"Holy See","1982","Male","Not applicable","Number","0"
"Holy See","1982","All genders","Not applicable","Number","0"
"Holy See","1981","Female","Not applicable","Number","0"
"Holy See","1981","All genders","Not applicable","Number","0"
"Holy See","1981","Male","Not applicable","Number","0"
"Holy See","1980","Female","Not applicable","Number","0"
"Holy See","1980","Male","Not applicable","Number","0"
"Holy See","1980","All genders","Not applicable","Number","0"
"Holy See","1979","Female","Not applicable","Number","0"
"Holy See","1979","All genders","Not applicable","Number","0"
"Holy See","1979","Male","Not applicable","Number","0"
"Holy See","1978","Female","Not applicable","Number","0"
"Holy See","1978","Male","Not applicable","Number","0"
"Holy See","1978","All genders","Not applicable","Number","0"
"Holy See","1977","Female","Not applicable","Number","0"
"Holy See","1977","All genders","Not applicable","Number","0"
"Holy See","1977","Male","Not applicable","Number","0"
"Holy See","1976","Female","Not applicable","Number","0"
"Holy See","1976","Male","Not applicable","Number","0"
"Holy See","1976","All genders","Not applicable","Number","0"
"Holy See","1975","Female","Not applicable","Number","0"
"Holy See","1975","All genders","Not applicable","Number","0"
"Holy See","1975","Male","Not applicable","Number","0"
"Honduras","2014","All genders","Not applicable","Number","61.75333"
"Honduras","2014","Male","Not applicable","Number","65.0445"
"Honduras","2014","Female","Not applicable","Number","58.36473"
"Honduras","2013","Female","Not applicable","Number","62.96169"
"Honduras","2013","All genders","Not applicable","Number","57.06152"
"Honduras","2013","Male","Not applicable","Number","51.32621"
"Honduras","2012","Male","Not applicable","Number","44.74671"
"Honduras","2012","All genders","Not applicable","Number","50.86394"
"Honduras","2012","Female","Not applicable","Number","57.14972"
"Honduras","2011","All genders","Not applicable","Number","47.87558"
"Honduras","2011","Female","Not applicable","Number","54.503"
"Honduras","2011","Male","Not applicable","Number","41.41712"
"Honduras","2010","All genders","Not applicable","Number","45.58245"
"Honduras","2010","Male","Not applicable","Number","39.91453"
"Honduras","2010","Female","Not applicable","Number","51.39094"
"Honduras","2007","All genders","Not applicable","Number","26.62752"
"Honduras","2007","Female","Not applicable","Number","31.07575"
"Honduras","2007","Male","Not applicable","Number","22.26709"
"Hong Kong Special Administrative Region of China","2014","All genders","Not applicable","Number","92.98342"
